PC1,PC2,Cluster
0.06807417666312565,-0.09855351916127338,6
0.00756672033331296,-0.022663933421966924,9
-0.05081296762634728,0.04335336751782254,6
0.021788493766380933,-0.2967964250359984,9
0.009931513678551234,-0.17404175269038982,9
0.02309568701828488,-0.31111086959659173,9
0.11912189791136885,-0.2865651466518952,9
0.0623569848902577,-0.29748748630756194,9
0.0033750146237702676,-0.2464015039260911,9
0.380329657079468,0.3308089009477562,4
0.46587168003112417,0.44111708123826904,4
0.12727734799780202,0.07922774721031552,4
-0.03983838807208217,-0.0244890681910034,8
0.09024257460579721,0.005307609473086479,4
0.3178842147823631,0.17052178845711471,4
0.4108791694731252,0.21286451354204436,4
0.26533177864835583,0.13994525132799035,4
-0.009405765716524852,-0.005225391450630737,6
-0.019261962572833382,0.00960531674133974,8
0.00043949109994148724,0.045716292645786534,8
0.002898922782203435,0.010949574767103747,8
0.11995551130025302,-0.04396755843546514,6
0.04801749793496105,-0.03245280437765204,8
0.04384429193667819,-0.1748429222847875,6
0.10308333811153705,-0.15230422794776116,6
0.027214174166766705,-0.068481276722821,7
0.058732074625838765,-0.11377757909122513,6
-0.008180991295444836,-0.09522605308016702,1
-0.037524193398781505,-0.00123147282515872,1
-0.037539739641633076,-0.02117801966281726,0
-0.02753702384541655,0.03627315989337479,7
-0.0332346439581329,-0.01652448964704841,2
0.1469948749437721,0.10760259348478407,6
0.05304780249686605,0.010164603737880841,3
-0.014537445270560957,-0.04635565812869149,6
-0.024216314235888436,0.026627841538004217,6
0.16364843741828827,-0.16496764341834533,6
0.20290474027284344,-0.1900276226077193,6
0.1524355578296768,-0.14592308883533844,8
0.11540341541617645,-0.1358444420956322,6
0.14571635228258842,-0.11563029734163685,6
-0.01028554886444277,0.007033218627119961,1
0.14976782177216993,-0.165227124173587,6
0.21202717920880682,-0.1874958159606848,6
0.026124665285451824,0.0017707355624019898,8
0.07273962755980765,0.11671736243749539,8
0.3465360783606714,0.3251375080778122,4
-0.0468586946057554,-0.012563714043652273,0
0.02853004617660424,-0.05816054389392002,6
-0.02043783584832206,-0.009073033699956752,8
0.35196946197271206,0.4152226925156028,4
-0.04168711103271767,-0.06684951291557596,0
-0.03274567257780741,-0.037782372840971176,5
-0.02376863236128046,-0.10014591774638074,6
-0.04505387846245069,0.035817814090633726,7
0.03382824077831747,-0.027870536083176495,7
-0.021325149251742847,0.0032431895844406483,7
0.04282999624039488,-0.019769316812165472,8
0.07007139373206912,-0.05813651739686752,6
-0.028945344067317726,0.02955861770462238,4
-0.015472738237128018,0.0038916491683434512,8
-0.056119668146015614,0.05019623193895028,8
0.003369338145093319,-0.015172503702901387,7
-0.0514297279602695,0.009696037532583798,1
-0.03890989629761474,0.033042714303823786,1
-0.002540318938855647,0.017262281010832412,8
-0.028285429688736558,-0.005844187124177533,6
-0.0257290888547604,-0.053347561405005704,6
-0.04051369958566012,-0.005218681550750392,0
-0.04573563035071275,-0.015980426760567455,8
0.03601275657195512,-0.059222022821273874,3
0.0902512031052504,-0.03371875180025996,6
0.015186522465320028,-0.0063705732507703715,4
0.08696634348641702,-0.0514717660401823,6
0.07601859284477173,-0.06126645432980683,2
-0.022221916113552634,0.03910507508750186,0
-0.027685666434083663,-0.029871052585246236,3
-0.03925162934450299,-0.002508296739006142,8
-0.03812441321851559,-0.043709006702192854,6
-0.04886157134164976,-0.05946038107868605,0
0.034865738161050264,-0.09373514881080064,1
0.022055921973899384,-0.10177612361784806,6
0.021410301519388938,-0.09773684909292941,1
-0.012882744975068732,0.03477261984922951,5
-0.04944060933904242,-0.0111655551913728,7
-0.02932571125646442,-0.014566613065139062,6
-0.04158041186909787,-0.022829152098024084,9
-0.02800758583746157,-0.027415557256729457,1
-0.0434037793125762,-0.03805506304997893,6
-0.030089950600870597,-0.033412703018479296,6
-0.040993968408117594,0.04851018228839224,7
-0.04541872711413776,-0.11481991419364027,5
0.03031760737462431,-0.06666926059173668,2
0.030099771224724844,-0.11227248233237358,6
0.026073918462439304,-0.07326505417545413,8
0.08295462252883962,-0.03505669107311944,8
-0.01208343834444032,0.03181317416900906,4
-0.09094792077132695,0.10289940117943253,7
-0.015566579511062656,0.018869947929206182,7
0.10726218344012403,0.06453277666602747,4
0.028694733405654618,-0.07796277200330741,6
-0.007216458085645649,-0.012153262967020134,0
-0.05676705094751068,-0.035203926390875225,6
-0.00843186255336613,-0.035417866923495085,1
0.09458345246508727,-0.09769015571808025,6
-0.045463020558170725,0.03107984704247838,0
-0.08041830329302944,-0.0551028846389553,0
-0.05563519405409303,-0.08454878258206025,1
-0.06381150831743117,-0.043595358467815926,8
-0.04779174044562844,-0.00769977874479019,6
-0.003178404120076305,0.002197794532120885,3
-0.009596247503341078,-0.006234308168560654,6
-0.029306054147123107,0.006015036169720289,6
0.01822913048793552,0.033100464178187385,0
-0.0377953123688748,0.02768908255465745,6
0.17609480669337216,0.16051080113593366,4
-0.04720815895895927,-0.009049884547510392,6
0.1723949257632084,0.06719725943758204,6
-0.03832632262847432,-0.01700559188920627,8
-0.02361509816772435,0.014323257407473904,8
0.03121992571214318,-0.021726123618385534,8
-0.07150093758389324,0.03785678103535756,7
0.12575435945232077,0.2167927170815801,4
-0.03043899303500358,0.0022845353720644616,0
-0.053531864989662795,0.028831916911856853,6
-0.002652341026854901,0.004028456936314575,0
-0.049069591630554174,0.03560167792535869,7
-0.05639432264994562,0.01081296343436493,0
-0.05229586926543644,-0.0025211475914704747,8
-0.018661676278004278,-0.04559497071925264,0
0.0525433763209713,-0.06537189271832121,0
0.01250743087893294,-0.038044287882263154,0
0.018721590514636857,-0.07855521474460166,0
0.013618007447793257,-0.06707209334100656,2
0.09600190806022169,-0.0316604664829836,3
-0.035745853875856444,-0.030037596069089945,6
-0.04643077002237023,0.02488345449356589,1
-0.05054652383866655,0.0034785790560974998,8
-0.0529547203726125,0.01100792293942924,1
-0.054732490600228896,-0.0006983250858091037,0
-0.010033024788269031,0.007163764795221058,8
-0.027778522140024374,0.004088508039161668,8
-0.04306612956571378,0.02744517476801032,1
-0.10500736447095581,0.09908557149361735,5
-0.04843548044377549,0.0585801179072704,1
0.3469224695520663,0.2968437844505214,4
0.36155315114814085,0.421226036886021,7
0.10263128728224381,0.19374345567988324,7
0.19192251790667422,0.2239396664539224,7
0.15648151709512395,0.24992100827038027,7
-0.060674849560739715,0.05416368597965302,0
0.14951089688389713,-0.07588810208413692,6
-0.08530218898412163,-0.0797157915639743,5
-0.09714386124945819,-0.036010043004776136,5
-0.013799335004137816,-0.08252777903327572,3
-0.06406974558810315,-0.07971653860838128,9
-0.06376152903561012,-0.037952860881232245,5
-0.01899994269929643,0.0011726061105578045,2
0.038483508900962415,0.09449969454738816,4
0.24187352974934626,0.10412318373392936,4
-0.06837971695377812,-0.02116338228181226,0
-0.062377779367817146,-0.04413117397302558,0
0.0030806392424829994,-0.09638519038882998,6
0.027742400892585808,-0.12154083202171177,1
-0.053747949988106204,-0.08918831434462898,1
-0.05171383803336008,-0.06946269217959153,1
-0.06554841320951783,-0.053665096468836916,1
-0.06999255350180446,0.002581972709493786,2
0.03352001228124083,-0.10283118696294283,1
-0.019594128552058675,-0.02245215495402271,1
-0.037507064513303025,-0.006592533489351789,1
0.01451900364502815,-0.06731740358141372,1
-0.005529047495424428,-0.05883278387676964,1
-0.02587902731523922,-0.01013797839119204,1
-0.018727406494813793,-0.03690145098739163,1
0.019377768626463156,-0.06642565719777765,1
-0.019638262025713622,-0.034367913101892286,1
-0.021795336059532995,-0.022468146642784997,6
0.05770528134693589,-0.03896095059165543,7
0.040823261318338765,-0.08722634441275079,6
0.04520699236439094,-0.13832856660243184,6
0.11860399212866213,-0.16273780678801916,6
0.02167319995878195,-0.12253090147881876,6
0.17125747893265414,-0.19436033029822394,6
-0.06410592711459627,-0.007226222293053888,6
0.12062244160766128,-0.10867918150037838,6
0.13006660105396464,-0.1918742751665159,6
0.06303228895411536,-0.2353267605514851,6
-0.10070052776375905,-0.04265344981369649,0
-0.10070052776375908,-0.042653449813696384,0
-0.20801013929280363,0.15177776140281915,5
-0.2080101392928036,0.1517777614028191,5
-0.2952187450489094,0.24120523065717034,5
-0.19746521314601415,0.1942460672001563,5
-0.17210822930946337,0.2130680219752526,5
-0.15028609207900648,0.05809822715342998,6
0.009644331909292831,0.02078306541859888,8
-0.07525110989392862,-0.09229787769911574,2
-0.18086622160878246,0.1440939447102363,3
-0.22921479865867325,0.13540551171128912,2
-0.13414927855100076,0.027188512597483814,2
-0.1740311615060431,0.16430572464386364,5
-0.28069301712623046,0.17736642545090514,5
-0.29184769087867946,0.18988053235094246,2
-0.2540652752294399,0.2110310459354119,5
-0.29521874504890944,0.24120523065717034,5
-0.19746521314601417,0.19424606720015627,5
-0.1721082293094634,0.2130680219752527,5
-0.1502860920790065,0.05809822715342994,6
0.009644331909292807,0.02078306541859888,8
-0.07525110989392858,-0.09229787769911582,2
-0.18086622160878243,0.14409394471023632,3
-0.2292147986586731,0.13540551171128914,2
-0.13414927855100078,0.02718851259748377,2
-0.17403116150604309,0.16430572464386364,5
-0.2806930171262305,0.17736642545090514,5
-0.2918476908786794,0.1898805323509424,2
-0.25406527522944,0.21103104593541197,5
-0.11228685307657581,0.009874656654488358,2
-0.11228685307657589,0.009874656654488416,2
0.08119168762629203,-0.15505193467543577,6
-0.039711206264475954,0.0345426507488819,8
-0.020457188668711487,-0.1435003344889388,6
-0.023777710841221156,0.08259911721118134,0
-0.05522506648634746,-0.14709289506165468,0
-0.07496862399896123,0.028975436256636372,6
-0.06630023848428794,-0.056589182679519505,0
-0.04331704350937648,0.04520781000270023,7
0.081247888073255,-0.0972685292422802,3
-0.015658794677733037,0.02121186495152182,4
0.0628041786365516,-0.12816760157346707,6
0.06690044418168396,-0.08731000187884062,6
0.005101842391039796,-0.004636886169319609,4
0.09921764562464704,-0.03547250551069745,6
0.0450903799159933,-0.043224874580780275,6
0.02539969323674046,0.03265660031988375,8
0.3421351390215811,0.2503296405646238,4
0.01079949587363311,0.009987196397781945,6
0.006866146314328881,-0.05243649404705078,0
